Dates,X,Y,Z,A,B,D
06/17/2014,3,0,0,0,1,0
06/18/2014,4,0,0,1,2,0
06/19/2014,2,3,0,0,0,0
06/20/2014,2,3,0,0,7,0
06/21/2014,0,3,0,0,0,0
06/22/2014,1,0,0,1,1,0
06/23/2014,0,0,1,0,1,1
06/24/2014,0,3,0,0,0,0
06/25/2014,1,0,0,0,1,1
06/26/2014,1,0,0,0,1,1
06/27/2014,0,0,0,0,0,3
06/28/2014,4,0,0,0,0,0
06/29/2014,1,0,0,1,0,0
06/30/2014,3,0,0,0,0,0
07/01/2014,1,0,0,0,2,0
07/02/2014,0,0,0,1,2,0
07/03/2014,2,1,0,2,0,0
07/04/2014,0,0,0,0,0,3
07/05/2014,0,0,0,0,0,3
07/06/2014,0,0,0,0,0,3
07/07/2014,0,0,0,0,1,2
07/08/2014,0,1,0,2,0,0
07/09/2014,0,0,0,1,0,2
07/10/2014,2,1,0,1,0,0
07/11/2014,1,1,0,0,0,1
07/12/2014,1,2,0,0,0,0
07/13/2014,1,1,0,0,0,1
07/14/2014,1,1,0,0,0,1
07/15/2014,0,1,0,0,0,2
07/16/2014,0,0,0,0,0,3
07/17/2014,6,0,0,0,0,0
07/18/2014,0,0,0,0,0,3
07/19/2014,1,0,0,0,0,0
07/20/2014,0,0,0,0,0,3
07/21/2014,0,0,0,0,0,3
07/22/2014,0,0,0,0,0,3
07/23/2014,0,0,0,0,0,3
07/24/2014,0,0,0,0,0,3
07/25/2014,2,0,0,0,0,1
07/26/2014,0,0,0,1,0,2
07/27/2014,3,1,0,0,0,0
07/28/2014,0,0,0,1,0,2
07/29/2014,0,0,0,0,0,3
07/30/2014,1,0,0,0,0,0
07/31/2014,1,0,0,0,0,0
08/01/2014,1,0,0,0,0,0
08/02/2014,0,0,0,0,0,3
08/03/2014,0,1,0,0,0,2
08/04/2014,0,0,0,0,0,3
08/05/2014,0,0,0,0,0,3
08/06/2014,0,0,0,0,0,3
08/07/2014,0,0,0,0,0,3
08/08/2014,0,0,0,0,0,3
08/09/2014,0,0,0,0,0,2
08/10/2014,0,0,0,0,0,3
08/11/2014,0,0,0,0,0,3
08/12/2014,0,0,0,0,0,3
08/13/2014,0,0,0,0,0,3
08/14/2014,1,0,0,0,0,0
08/15/2014,2,0,0,0,0,1
08/16/2014,1,0,0,0,0,0
08/17/2014,0,0,0,0,0,3
08/18/2014,1,0,0,0,0,0
08/19/2014,0,0,0,0,0,3
08/20/2014,0,0,0,0,0,3
08/21/2014,0,0,0,0,0,3
08/22/2014,0,0,0,0,0,3
08/23/2014,0,0,0,0,0,3
08/24/2014,1,0,0,0,0,0
